id	NY AGI of All Returns	Taxable Income of All Returns
20597	295096.22	255063.69
20598	427250.72	388859.72
20599	499288.50	485108.09
20600	3568648.25	2910270.25
20602	44397.28	6871.30
20603	139368.09	49738.04
20604	208306.62	119854.21
20605	242126.20	163946.66
20606	250164.19	184296.27
20607	250983.88	192969.92
20608	337543.91	264790.06
20609	531885.56	430749.84
20610	1052704.25	894795.31
20611	135684.94	121937.32
20612	173251.69	160457.12
20613	138313.02	133877.00
20614	3500517.00	2725161.00
20615	-299446.31	1972.82
20616	76641.44	13893.80
20617	281724.75	80223.88
20618	344300.62	169576.19
20619	369969.81	226172.44
20620	372630.69	250047.16
20621	374218.53	264854.22
20622	549431.94	404297.62
20623	913905.81	693813.12
20624	2923241.00	2340383.50
20625	807225.00	689892.50
20626	1347209.50	1207248.88
20627	1819525.00	1737832.50
20629	-3679.51	464.35
20630	28843.50	3673.37
20631	97504.24	30852.47
20632	127559.06	68026.58
20633	130191.50	85170.95
20634	133527.06	95276.87
20635	130264.67	97316.53
20636	185474.41	145633.02
20637	265369.06	215533.94
20638	378370.88	324136.41
20639	35327.56	31629.21
20640	53848.13	50122.76
20641	75550.69	74183.10
20642	1638151.25	1222019.50
20643	-71003.49	1720.08
20644	59943.47	11420.33
20645	185436.52	67819.18
20646	258850.55	146376.45
20647	298760.06	200318.20
20648	329754.31	239848.77
20649	336442.53	255610.91
20650	497530.81	388027.50
20651	856092.31	691319.75
20652	2166520.25	1842277.12
20653	358122.53	320749.50
20654	586560.31	543736.62
20655	790957.75	767764.56
20657	138.88	887.21
20658	48698.27	6730.73
20659	157661.12	54105.50
20660	214574.12	120846.92
20661	241059.89	161620.55
20662	239196.62	174016.09
20663	236908.95	180151.27
20664	311232.09	242690.73
20665	514565.62	415550.72
20666	1044701.31	884796.25
20667	135757.70	121694.71
20668	221316.91	204741.45
20669	261406.95	252607.89
20670	3627218.50	2820440.00
20671	-7022.06	178.02
20672	8730.11	1259.07
20673	27895.38	9049.67
20674	41087.72	22104.74
20675	43598.77	28506.79
20676	45996.70	32681.26
20677	45362.57	34004.35
20678	60235.71	46427.55
20679	84608.95	68187.06
20680	131201.11	111788.81
20681	12808.78	11336.64
20682	14772.79	13901.19
20683	23736.86	23092.83
20684	533013.38	402517.97
20685	-1252.64	98.53
20686	5458.41	674.08
20687	19170.08	6501.60
20688	25882.32	14272.88
20689	27253.00	17903.43
20690	27213.19	19452.03
20691	28148.59	21072.00
20692	40072.88	30923.72
20693	50325.63	40859.18
20694	70334.40	60031.28
20695	6439.25	5793.51
20696	12085.92	11061.32
20697	14905.91	14652.81
20698	326036.91	243296.36
20699	-1009.77	206.70
20700	9827.27	1339.27
20701	35811.93	12039.75
20702	45663.92	24778.36
20703	48024.53	31561.09
20704	53686.49	38411.65
20705	46585.25	34789.56
20706	67111.40	51774.95
20707	90220.97	72637.84
20708	124504.92	105858.76
20709	12746.76	11417.24
20710	25255.78	23612.99
20711	31399.45	30764.57
20712	589828.88	439192.72
20713	-7839.97	522.22
20714	30189.35	4244.60
20715	100156.00	32849.56
20716	123130.38	65847.28
20717	133799.17	86951.09
20718	146968.09	105394.11
20719	145474.23	108927.88
20720	183352.02	142244.30
20721	259051.73	209365.27
20722	403160.66	344032.12
20723	59443.36	53359.91
20724	106797.91	98573.62
20725	167400.70	163423.67
20726	1851083.62	1415735.62
20727	-580389.12	10545.01
20728	414295.44	79964.84
20729	1354420.12	478360.69
20730	1819122.75	963146.75
20731	2080171.50	1312372.62
20732	2178464.50	1495622.25
20733	2166784.75	1556836.25
20734	3116522.75	2303372.00
20737	3452647.75	2983317.75
20741	-17855.00	374.98
20742	21512.96	2729.81
20743	74756.59	23173.79
20744	105496.45	56669.94
20745	103883.81	66383.26
20746	97286.25	67726.31
