id	vehicle_type	sex_of_driver	age_of_driver	engine_capacity_(cc)	age_of_vehicle
1423	9	1	27	1229	10
1424	9	2	36	1329	4
1425	9	2	36	1329	4
1428	9	1	32	1995	13
1429	9	1	32	1995	13
1430	9	1	32	1995	13
1431	9	1	86	1364	4
1432	9	2	37	2099	13
1433	9	1	42	1968	8
1434	3	1	22	124	7
1435	9	1	39	998	2
1438	9	1	25	1686	11
1439	9	1	35	2457	7
1440	9	1	35	2457	7
1441	9	1	25	998	14
1442	9	2	71	1998	9
1443	3	1	64	123	3
1445	9	1	39	1560	2
1446	9	1	24	1399	12
1447	3	1	48	124	5
1448	11	1	69	6700	7
1449	9	1	28	1229	1
1450	9	2	52	1686	10
1451	19	1	64	1248	7
1452	9	2	33	1596	7
